Well,Plate,Library,Replica,LibRep,LibRepPlateWell,Row,Column,Compound,Supplier.order.no.,EMBL.CBCF.Id,Supplier,Strain,ID,Environment,Product..common.name.,Family,Target,Specific.Target,Chem.ID,AUC
C3,1,PS2,3,PS2-Rep3,PS2-3-1-C3,H,12,DMSO,,NA,,74,Neobacillus 1,Pristine,NA,NA,NA,NA,NA,42.28543986
C4,1,PS2,3,PS2-Rep3,PS2-3-1-C4,H,1,MYCLOBUTANIL,34360-100MG,555355,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Triazole,Fungicide,,110,42.73488897
C5,1,PS2,3,PS2-Rep3,PS2-3-1-C5,H,2,DMSO,,153353,Roth,74,Neobacillus 1,Pristine,NA,NA,NA,NA,NA,43.17148588
C6,1,PS2,3,PS2-Rep3,PS2-3-1-C6,H,3,FENTHION,36552-250MG,473298,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Organophosphate,Insecticide,,62,42.51857655
C7,1,PS2,3,PS2-Rep3,PS2-3-1-C7,H,4,SPIRODICLOFEN,33654-100MG-R,555259,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,"Insecticide, Acaricide",,139,42.95641634
C8,1,PS2,3,PS2-Rep3,PS2-3-1-C8,H,5,MEPIQUAT CHLORIDE,36151-100MG,555977,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,Plant Growth Regulator,,157,42.98910746
C9,1,PS2,3,PS2-Rep3,PS2-3-1-C9,H,6,METHAMIDOPHOS,33395-100MG,555242,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Organophosphate,Insecticide,,103,39.72997498
D1,1,PS2,3,PS2-Rep3,PS2-3-1-D1,A,10,DIMETHOATE,45449-100MG,555694,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,preparation B-58,Organophosphate,"Insecticide, Acaricide",,49,39.10938002
D10,1,PS2,3,PS2-Rep3,PS2-3-1-D10,A,7,PROPANIL,45639-250MG,555777,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,Herbicide,,127,43.68450317
D11,1,PS2,3,PS2-Rep3,PS2-3-1-D11,A,8,CHLORMEQUAT CHLORIDE,45387-250MG,555987,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,Plant Growth Regulator,Adjuvant for herbicides by retarding their oxidative disposal by plants,156,43.72055946
D12,1,PS2,3,PS2-Rep3,PS2-3-1-D12,A,9,CYANTRANILIPROLE,32372-25MG,555122,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Ryanoid,Insecticide,,36,39.32374856
D2,1,PS2,3,PS2-Rep3,PS2-3-1-D2,A,11,IMAZAMOX,34227-100MG,555327,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,Herbicide,,84,42.78274657
D3,1,PS2,3,PS2-Rep3,PS2-3-1-D3,A,12,DMSO,,153353,Roth,74,Neobacillus 1,Pristine,NA,NA,NA,NA,NA,44.3491186
D4,1,PS2,3,PS2-Rep3,PS2-3-1-D4,A,1,IPRODION,36132-100MG,555420,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Hydantoin,Multi-target,"Fungicide, nematicide",88,43.65240327
D5,1,PS2,3,PS2-Rep3,PS2-3-1-D5,A,2,DMSO,,153353,Roth,74,Neobacillus 1,Pristine,NA,NA,NA,NA,NA,43.77814067
D6,1,PS2,3,PS2-Rep3,PS2-3-1-D6,A,3,MANCOZEB,45553-100MG,555993,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Dithiocarbamate,Fungicide,,96,44.74817433
D7,1,PS2,3,PS2-Rep3,PS2-3-1-D7,A,4,FIPRONIL,46451-100MG,473525,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Phenylpyrazole,Insecticide,,63,44.0772816
D8,1,PS2,3,PS2-Rep3,PS2-3-1-D8,A,5,METHOMYL,36159-100MG,555438,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Carbamate,Insecticide,,104,44.91514686
D9,1,PS2,3,PS2-Rep3,PS2-3-1-D9,A,6,ATRAZINE,45330-250MG-R,555626,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Triazine,Herbicide,Broadleaf and grassy weeds,11,45.10473982
E1,1,PS2,3,PS2-Rep3,PS2-3-1-E1,B,10,DMSO,,153353,Roth,74,Neobacillus 1,Pristine,NA,NA,NA,NA,NA,38.32440458
E10,1,PS2,3,PS2-Rep3,PS2-3-1-E10,B,7,METALAXYL-M,32808-100MG,555978,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Acylalanine,Fungicide,,101,42.16942688
E11,1,PS2,3,PS2-Rep3,PS2-3-1-E11,B,8,AZOXYSTROBIN,31697-100MG,555082,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,Amistar,,Fungicide,,12,43.23383156
E12,1,PS2,3,PS2-Rep3,PS2-3-1-E12,B,9,SAFLUFENACIL,32435-100MG,555139,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Pyrimidinedione,Herbicide,,137,38.77774307
E2,1,PS2,3,PS2-Rep3,PS2-3-1-E2,B,11,EPOXICONAZOLE,36848-100MG,555553,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Azole,Fungicide,,53,42.36056315
E3,1,PS2,3,PS2-Rep3,PS2-3-1-E3,B,12,PROPAMOCARB,45638-250MG,555776,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,Fungicide,Oomycetes,126,44.28103976
E4,1,PS2,3,PS2-Rep3,PS2-3-1-E4,B,1,SULFUR,36576-250MG,555503,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,Multi-target,"Insecticide, fungicide and rodenticide ",142,43.65530331
E5,1,PS2,3,PS2-Rep3,PS2-3-1-E5,B,2,IMIDACLOPRID,37894-100MG,447562,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Neonicotinoid,Insecticide,,86,44.95754125
E6,1,PS2,3,PS2-Rep3,PS2-3-1-E6,B,3,CHLORPROPHAM,45393-250MG,446804,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,CIPC,,Herbicide,,29,46.38375937
E7,1,PS2,3,PS2-Rep3,PS2-3-1-E7,B,4,CYPERMETHRIN (MIXTURE OF ISOMERS),36128-100MG,473433,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Pyrethroid,Insecticide,,166,42.66663081
E8,1,PS2,3,PS2-Rep3,PS2-3-1-E8,B,5,DINOCAP (MIXTURE OF ISOMERS),45452-100MG,555697,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,Fungicide,"Fungicide, Acaricide",98,41.6341383
E9,1,PS2,3,PS2-Rep3,PS2-3-1-E9,B,6,ABAMECTIN,31732-100MG,555088,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Avermectin,Insecticide,"Insects, mites, nematodes",4,40.49404251
F1,1,PS2,3,PS2-Rep3,PS2-3-1-F1,C,10,LAMBDA-CYHALOTHRIN,31058-100MG,555016,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Pyrethroid,Insecticide,,93,39.90955991
F10,1,PS2,3,PS2-Rep3,PS2-3-1-F10,C,7,SPIROMESIFEN,33599-100MG,555257,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,Insecticide,,140,43.16311627
F11,1,PS2,3,PS2-Rep3,PS2-3-1-F11,C,8,FENPYROXIMATE,31684-100MG,555081,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Pyrazoles,"Insecticide, Acaricide",,61,40.91491193
F12,1,PS2,3,PS2-Rep3,PS2-3-1-F12,C,9,PENTHIOPYRAD,32064-25MG,555109,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,Fungicide,,116,38.66753994
F2,1,PS2,3,PS2-Rep3,PS2-3-1-F2,C,11,GLYPHOSATE,45521-250MG,555744,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Organophosphate,Herbicide,,79,44.67080428
F3,1,PS2,3,PS2-Rep3,PS2-3-1-F3,C,12,PROTHIOCONAZOLE,34232-100MG,555332,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Triazole,Fungicide,,130,45.91429467
F4,1,PS2,3,PS2-Rep3,PS2-3-1-F4,C,1,BOSCALID,33875-100MG-R,555280,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Carboximide ,Fungicide,,17,46.63331601
F5,1,PS2,3,PS2-Rep3,PS2-3-1-F5,C,2,empty,,NA,,74,Neobacillus 1,Pristine,NA,NA,NA,NA,NA,45.21197086
F6,1,PS2,3,PS2-Rep3,PS2-3-1-F6,C,3,DITHIANON,45462-250MG,555704,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Naphthodithiin,Fungicide,,51,43.18738317
F7,1,PS2,3,PS2-Rep3,PS2-3-1-F7,C,4,METSULFURON-METHYL,46432-100MG,555908,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Sulfonylurea,Herbicide,Broadleaf weeds,158,46.04133857
F8,1,PS2,3,PS2-Rep3,PS2-3-1-F8,C,5,DMSO,,153353,Roth,74,Neobacillus 1,Pristine,NA,NA,NA,NA,NA,45.19860206
F9,1,PS2,3,PS2-Rep3,PS2-3-1-F9,C,6,PENCONAZOL,36189-100MG,555463,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Triazole,Fungicide,,114,44.63780754
G1,1,PS2,3,PS2-Rep3,PS2-3-1-G1,D,10,HALOXYFOP,45817-100MG,555917,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Pyridine,Herbicide,,80,37.9921781
G10,1,PS2,3,PS2-Rep3,PS2-3-1-G10,D,7,DMSO,,153353,Roth,74,Neobacillus 1,Pristine,NA,NA,NA,NA,NA,42.86988174
G11,1,PS2,3,PS2-Rep3,PS2-3-1-G11,D,8,CARBARYL,32055-250MG,473478,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Carbamate,Insecticide,,22,41.75758462
G12,1,PS2,3,PS2-Rep3,PS2-3-1-G12,D,9,THIAMETHOXAM,37924-100MG-R,555602,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Neonicotinoid,Insecticide,,146,37.5663105
G2,1,PS2,3,PS2-Rep3,PS2-3-1-G2,D,11,FENHEXAMID,31713-100MG,555084,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Hydroxyanilide,Fungicide,,57,42.69913364
G3,1,PS2,3,PS2-Rep3,PS2-3-1-G3,D,12,BENTAZON,32052-250MG,555098,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Thiadiazine,Herbicide,,14,45.25714698
G4,1,PS2,3,PS2-Rep3,PS2-3-1-G4,D,1,DMSO,,153353,Roth,74,Neobacillus 1,Pristine,NA,NA,NA,NA,NA,45.64872664
G5,1,PS2,3,PS2-Rep3,PS2-3-1-G5,D,2,NICOSULFURON,34210-100MG-R,555322,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Sulfonylurea,Herbicide,,111,47.27677798
G6,1,PS2,3,PS2-Rep3,PS2-3-1-G6,D,3,FLUTRIAFOL,34344-100MG,555350,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,Fungicide,,75,45.27840326
G7,1,PS2,3,PS2-Rep3,PS2-3-1-G7,D,4,EMAMECTIN BENZOATE,31733-250MG,555344,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,Insecticide,,160,35.42098039
G8,1,PS2,3,PS2-Rep3,PS2-3-1-G8,D,5,THIACLOPRID,37905-100MG-R,555596,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Neonicotinoid,Insecticide,,145,42.66667607
G9,1,PS2,3,PS2-Rep3,PS2-3-1-G9,D,6,QUINOXYFEN,46439-100MG,555911,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Quinoline,Fungicide,,136,43.67579158
H1,1,PS2,3,PS2-Rep3,PS2-3-1-H1,E,10,METHOXYFENOZIDE,32507-50MG,555157,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,Insecticide,,105,33.39958907
H10,1,PS2,3,PS2-Rep3,PS2-3-1-H10,E,7,CHLORPYRIPHOS-METHYL,45396-250MG,555657,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Organophosphate,Insecticide,"Insects, worms",31,39.99494217
H11,1,PS2,3,PS2-Rep3,PS2-3-1-H11,E,8,DMSO,,153353,Roth,74,Neobacillus 1,Pristine,NA,NA,NA,NA,NA,38.67321531
H12,1,PS2,3,PS2-Rep3,PS2-3-1-H12,E,9,DIFLUBENZURON,45446-250MG,474291,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Benzoylurea,Insecticide,,46,34.68033832
H2,1,PS2,3,PS2-Rep3,PS2-3-1-H2,E,11,FORMETANATE HYDROCHLORIDE,45514-250MG,555991,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,"Insecticide, Acaricide",,164,38.08403412
H3,1,PS2,3,PS2-Rep3,PS2-3-1-H3,E,12,PROMETRYN,45636-50MG,555774,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Triazine,Herbicide,,125,39.60799248
H4,1,PS2,3,PS2-Rep3,PS2-3-1-H4,E,1,THIOPHANATE-METHYL,45688-250MG,473576,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,Fungicide,,147,40.83764698
H5,1,PS2,3,PS2-Rep3,PS2-3-1-H5,E,2,HEXYTHIAZOX,33365-100MG,555220,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,"Insecticide, Acaricide","Mites, mite eggs",82,41.28318818
H6,1,PS2,3,PS2-Rep3,PS2-3-1-H6,E,3,FOMESAFEN,46325-100MG-R,555898,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Nitrophenyl ether,Herbicide,,78,38.03944109
H7,1,PS2,3,PS2-Rep3,PS2-3-1-H7,E,4,FLUXAPYROXAD,37047-100MG,555568,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Pyrazole-carboxamide,Fungicide,,76,38.94226495
H8,1,PS2,3,PS2-Rep3,PS2-3-1-H8,E,5,FENOBUCARB,45488-250MG,555725,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,BPMC,Carbamate,Insecticide,Hemiptera,58,40.75092034
H9,1,PS2,3,PS2-Rep3,PS2-3-1-H9,E,6,FLUAZINAM,34095-100MG,555307,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Diarylamine,Fungicide,,66,7.310231875
A1,2,PS1,1,PS1-Rep1,PS1-1-2-A1,A,1,THIABENDAZOLE,45684-250MG,420656,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,TBZ,,Multi-target,"Fungicide, Parasiticide",144,40.10113088
A10,2,PS1,1,PS1-Rep1,PS1-1-2-A10,A,10,PROPICONAZOLE,45642-250MG,555780,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,Triazole,Fungicide,,128,43.72664637
A11,2,PS1,1,PS1-Rep1,PS1-1-2-A11,A,11,NOVALURON,32419-25MG,555131,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,Benzoylurea,Insecticide,,112,45.5117365
A12,2,PS1,1,PS1-Rep1,PS1-1-2-A12,A,12,DMSO,,153353,Roth,R2A_RUF3_11,Neobacillus 2,Polluted,NA,NA,NA,NA,NA,40.83127353
A2,2,PS1,1,PS1-Rep1,PS1-1-2-A2,A,2,DMSO,,153353,Roth,R2A_RUF3_11,Neobacillus 2,Polluted,NA,NA,NA,NA,NA,44.66813023
A3,2,PS1,1,PS1-Rep1,PS1-1-2-A3,A,3,BIFENTHRIN,34314-100MG,555338,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,Pyrethroid,Insecticide,,92,45.15134559
A4,2,PS1,1,PS1-Rep1,PS1-1-2-A4,A,4,CAPTAN,32054-250MG,474245,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,Phthalimide,Fungicide,,21,45.41691582
A5,2,PS1,1,PS1-Rep1,PS1-1-2-A5,A,5,PIRIMIPHOS-METHYL,32058-250MG,555104,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,Phosphorothioate,Insecticide,,122,46.19813637
A6,2,PS1,1,PS1-Rep1,PS1-1-2-A6,A,6,FLUROXYPYR,45758-100MG-R,555837,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,Auxin,Herbicide,,74,47.25143236
A7,2,PS1,1,PS1-Rep1,PS1-1-2-A7,A,7,INDOXACARB,33969-25MG-R,555290,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,Oxadiazine,Insecticide,Lepidoptera ,87,46.15753166
A8,2,PS1,1,PS1-Rep1,PS1-1-2-A8,A,8,TRIFLOXYSTROBIN,46447-100MG,555913,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,Strobilurin,Fungicide,,150,45.1476101
A9,2,PS1,1,PS1-Rep1,PS1-1-2-A9,A,9,ACETOCHLOR,33379-100MG,555230,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,"Acenit, Keystone, Guardian, Harness, Relay, Sacemid, Surpass, Top-Hand, Trophy and Winner",Chloroacetanilides,Herbicide,,7,47.41711917
B1,2,PS1,1,PS1-Rep1,PS1-1-2-B1,B,1,ACETAMIPRID; N-(6-CHLORO-3-PYRIDYLMETHYL)-N-CYANO-N-METHYLACETAMIDINE,51625-50MG,555262,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,"Assail, Chipco",Neonicotinoid,Insecticide,"Sucking insects, fruit flies, fleas",6,44.46885058
B10,2,PS1,1,PS1-Rep1,PS1-1-2-B10,B,10,DMSO,,153353,Roth,R2A_RUF3_11,Neobacillus 2,Polluted,NA,NA,NA,NA,NA,49.20530631
B11,2,PS1,1,PS1-Rep1,PS1-1-2-B11,B,11,DIURON,45463-250MG,555705,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,DCMU,Arylurea,Herbicide,,52,47.8802873
B12,2,PS1,1,PS1-Rep1,PS1-1-2-B12,B,12,CYPRODINIL,34389-100MG,555364,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,Anilinopyrimidine,Fungicide,,40,43.00470568
B2,2,PS1,1,PS1-Rep1,PS1-1-2-B2,B,2,FENOXAPROP RACEMATE,36849-100MG-R,555554,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,,Herbicide,,59,48.89497241
B3,2,PS1,1,PS1-Rep1,PS1-1-2-B3,B,3,ISOXAFLUTOLE,46437-100MG,555909,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,,Herbicide,,91,48.11938531
B4,2,PS1,1,PS1-Rep1,PS1-1-2-B4,B,4,TRIADIMENOL A,45694-250MG,555816,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,Triazole,Fungicide,,162,48.61863348
B5,2,PS1,1,PS1-Rep1,PS1-1-2-B5,B,5,HEXACHLOROPHENE,45526-250MG,440037,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,Nabac,Organochlorine,Multi-target,"Fungicide, plant bactericide, and acaricide",81,32.71088479
B6,2,PS1,1,PS1-Rep1,PS1-1-2-B6,B,6,PIPERONYL BUTOXIDE,45626-100MG,473471,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,PBO,,Synergist,"Enhances the potency of certain pesticides such as carbamates, pyrethrins, pyrethroids, and rotenone",120,47.82806516
B7,2,PS1,1,PS1-Rep1,PS1-1-2-B7,B,7,MALATHION,36143-100MG,473229,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,Organophosphate,Insecticide,,95,49.42685499
B8,2,PS1,1,PS1-Rep1,PS1-1-2-B8,B,8,SPIROTETRAMAT,32713-100MG,555182,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,Keto-enol,Insecticide,,141,48.74027823
B9,2,PS1,1,PS1-Rep1,PS1-1-2-B9,B,9,CLETHODIM (MIXTURE OF ISOMERS),34190-50MG,555321,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,Cyclohexanedione,Herbicide,Grasses,32,50.4494753
C1,2,PS1,1,PS1-Rep1,PS1-1-2-C1,C,1,empty,,NA,,R2A_RUF3_11,Neobacillus 2,Polluted,NA,NA,NA,NA,NA,36.71860875
C10,2,PS1,1,PS1-Rep1,PS1-1-2-C10,C,10,S-METOLACHLOR,33859-100MG-R,555275,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,,Herbicide,Grasses,3,49.809789
C11,2,PS1,1,PS1-Rep1,PS1-1-2-C11,C,11,PYRIDABEN,46047-25MG-R,555872,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,Organochlorine,"Insecticide, Acaricide",,133,49.83983065
C12,2,PS1,1,PS1-Rep1,PS1-1-2-C12,C,12,BUPIRIMATE,31510-250MG,555047,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,Nimrod and Roseclear 2,Pyrimidine sulfamates,Fungicide,,19,42.81528714
C2,2,PS1,1,PS1-Rep1,PS1-1-2-C2,C,2,CHLORANTRANILIPROL,32510-25MG,555160,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,Ryanoid,Insecticide,"Lepidoptera (moth), Coleoptera (beetle), Diptera (fly), and Isoptera (termite)",25,45.9746732
C3,2,PS1,1,PS1-Rep1,PS1-1-2-C3,C,3,METRAFENONE,32964-100MG,555207,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,Benzophenone,Fungicide,,106,47.7082556
C4,2,PS1,1,PS1-Rep1,PS1-1-2-C4,C,4,CARBOSULFAN,32005-100MG,555090,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,Carbamate,Insecticide,,24,49.68504397
C5,2,PS1,1,PS1-Rep1,PS1-1-2-C5,C,5,DMSO,,153353,Roth,R2A_RUF3_11,Neobacillus 2,Polluted,NA,NA,NA,NA,NA,48.44787214
C6,2,PS1,1,PS1-Rep1,PS1-1-2-C6,C,6,PYRIPROXIFEN,34174-100MG,555316,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,,Insecticide,,135,49.24888407
C7,2,PS1,1,PS1-Rep1,PS1-1-2-C7,C,7,DIFENOCONAZOL,36531-250MG,555485,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,Triazole,Fungicide,,45,50.02370943
C8,2,PS1,1,PS1-Rep1,PS1-1-2-C8,C,8,FENAZAFLOR,36504-100MG,555472,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,,"Insecticide, Acaricide",Spider mites,55,34.36840017
C9,2,PS1,1,PS1-Rep1,PS1-1-2-C9,C,9,DIFLUFENICAN,45751-100MG,555834,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,,Herbicide,Broadleaf and grassy weeds,47,50.88132666
D1,2,PS1,1,PS1-Rep1,PS1-1-2-D1,D,1,DMSO,,153353,Roth,R2A_RUF3_11,Neobacillus 2,Polluted,NA,NA,NA,NA,NA,46.10519031
D10,2,PS1,1,PS1-Rep1,PS1-1-2-D10,D,10,TRICYCLAZOLE,45808-10MG,555841,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,Triazolobenzothiazole,Fungicide,,149,49.92352707
D11,2,PS1,1,PS1-Rep1,PS1-1-2-D11,D,11,ACLONIFEN,36792-50MG-R,555551,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,Nitrophenyl ether,Herbicide,,8,49.97849357
D12,2,PS1,1,PS1-Rep1,PS1-1-2-D12,D,12,BAYTHROID (MIXTURE OF ISOMERS),33738-250MG,555266,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,Pyrethroid,Insecticide,,37,43.38856462
D2,2,PS1,1,PS1-Rep1,PS1-1-2-D2,D,2,TOLFENPYRAD,37043-25MG,555564,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,,"Insecticide, Acaricide",,148,49.5849444
D3,2,PS1,1,PS1-Rep1,PS1-1-2-D3,D,3,FLORASULAM,32586-50MG,555174,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,Triazolopyrimidine sulfonanilide,Herbicide,,65,49.52776637
D4,2,PS1,1,PS1-Rep1,PS1-1-2-D4,D,4,PYMETROZIN,46119-250MG-R,555881,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,Triazine,Insecticide,,131,54.91288786
D5,2,PS1,1,PS1-Rep1,PS1-1-2-D5,D,5,PROCHLORAZ,45631-250MG,555769,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,Imidazole,Fungicide,,123,50.21364767
D6,2,PS1,1,PS1-Rep1,PS1-1-2-D6,D,6,PYRACLOSTROBIN,33696-100MG-R,555264,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,Strobilurin,Fungicide,,132,49.74457359
D7,2,PS1,1,PS1-Rep1,PS1-1-2-D7,D,7,DMSO,,153353,Roth,R2A_RUF3_11,Neobacillus 2,Polluted,NA,NA,NA,NA,NA,50.27598833
D8,2,PS1,1,PS1-Rep1,PS1-1-2-D8,D,8,"4,4-DDT",31041-100MG,446465,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,Organochlorine,Insecticide,,159,47.82856589
D9,2,PS1,1,PS1-Rep1,PS1-1-2-D9,D,9,CARBENDAZIM,45368-250MG,555642,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,Benzimidazole,Fungicide,,23,52.082055
E1,2,PS1,1,PS1-Rep1,PS1-1-2-E1,E,1,DIMETHENAMID,31726-100MG,555087,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,,Herbicide,,48,44.18580287
E10,2,PS1,1,PS1-Rep1,PS1-1-2-E10,E,10,FLUBENDIAMID,32801-100MG,555189,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,Ryanoid,Insecticide,,67,50.57799024
E11,2,PS1,1,PS1-Rep1,PS1-1-2-E11,E,11,BIFENAZATE,32504-50MG,555154,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,,"Insecticide, Acaricide",Mites,15,49.54201336
E12,2,PS1,1,PS1-Rep1,PS1-1-2-E12,E,12,PENDIMETHALIN,36191-100MG,555464,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,Dinitroaniline,Herbicide,,115,42.28048102
E2,2,PS1,1,PS1-Rep1,PS1-1-2-E2,E,2,PHOSMET,36195-100MG,555468,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,Organophosphate,Insecticide,,117,49.95149123
E3,2,PS1,1,PS1-Rep1,PS1-1-2-E3,E,3,PICOXYSTROBIN,33658-100MG-R,555260,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,Eonate ester,Fungicide,,118,49.65341707
E4,2,PS1,1,PS1-Rep1,PS1-1-2-E4,E,4,DICAMBA,45430-250MG,555679,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,"Dianat, Banvel, Diablo, Oracle and Vanquish",,Herbicide,,43,49.78147042
E5,2,PS1,1,PS1-Rep1,PS1-1-2-E5,E,5,CHLORPYRIPHOS,45395-100MG,473297,SIGMA-ALDRICH,R2A_RUF3_11,Neobacillus 2,Polluted,,Organophosphate,Insecticide,"Insects, worms",30,51.17314234
