Well,Plate,Library,Replica,LibRep,LibRepPlateWell,Row,Column,Compound,Supplier.order.no.,EMBL.CBCF.Id,Supplier,Strain,ID,Environment,Product..common.name.,Family,Target,Specific.Target,Chem.ID,AUC
B9,1,PS1,1,PS1-Rep1,PS1-1-1-B9,B,9,CLETHODIM (MIXTURE OF ISOMERS),34190-50MG,555321,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Cyclohexanedione,Herbicide,Grasses,32,48.22014225
C1,1,PS1,1,PS1-Rep1,PS1-1-1-C1,C,1,empty,,NA,,74,Neobacillus 1,Pristine,NA,NA,NA,NA,NA,36.11147794
C10,1,PS1,1,PS1-Rep1,PS1-1-1-C10,C,10,S-METOLACHLOR,33859-100MG-R,555275,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,Herbicide,Grasses,3,48.20766028
C11,1,PS1,1,PS1-Rep1,PS1-1-1-C11,C,11,PYRIDABEN,46047-25MG-R,555872,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Organochlorine,"Insecticide, Acaricide",,133,42.05095646
C12,1,PS1,1,PS1-Rep1,PS1-1-1-C12,C,12,BUPIRIMATE,31510-250MG,555047,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,Nimrod and Roseclear 2,Pyrimidine sulfamates,Fungicide,,19,40.03286679
C2,1,PS1,1,PS1-Rep1,PS1-1-1-C2,C,2,CHLORANTRANILIPROL,32510-25MG,555160,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Ryanoid,Insecticide,"Lepidoptera (moth), Coleoptera (beetle), Diptera (fly), and Isoptera (termite)",25,47.73637422
C3,1,PS1,1,PS1-Rep1,PS1-1-1-C3,C,3,METRAFENONE,32964-100MG,555207,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Benzophenone,Fungicide,,106,48.24227827
C4,1,PS1,1,PS1-Rep1,PS1-1-1-C4,C,4,CARBOSULFAN,32005-100MG,555090,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Carbamate,Insecticide,,24,45.9957925
C5,1,PS1,1,PS1-Rep1,PS1-1-1-C5,C,5,DMSO,,153353,Roth,74,Neobacillus 1,Pristine,NA,NA,NA,NA,NA,50.95555906
C6,1,PS1,1,PS1-Rep1,PS1-1-1-C6,C,6,PYRIPROXIFEN,34174-100MG,555316,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,Insecticide,,135,49.84506125
